日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2023-02-10,47.68,47.02,49.77,46.48,30381,145405266.0,6.87,-1.76,-0.84,3.78
2023-02-13,46.5,46.45,47.46,45.39,33087,153118045.0,4.4,-1.21,-0.57,4.12
2023-02-14,46.65,45.68,47.17,45.13,17184,78837562.0,4.39,-1.66,-0.77,2.14
2023-02-15,45.27,46.15,46.81,45.23,18802,86673498.0,3.46,1.03,0.47,2.34
2023-02-16,47.28,45.27,48.28,45.15,32610,152827322.0,6.78,-1.91,-0.88,4.06
2023-02-17,45.0,43.3,45.68,43.16,32463,142224552.0,5.57,-4.35,-1.97,4.04
2023-02-20,43.0,43.75,43.97,42.7,18084,78378617.0,2.93,1.04,0.45,2.25
2023-02-21,43.74,42.85,44.08,42.42,17918,77439292.0,3.79,-2.06,-0.9,2.23
2023-02-22,42.9,43.3,43.69,42.14,13136,56540686.0,3.62,1.05,0.45,1.64
2023-02-23,44.97,46.66,47.1,44.52,64985,299428262.0,5.96,7.76,3.36,8.09
2023-02-24,47.12,51.98,54.55,46.93,59794,305235401.0,16.33,11.4,5.32,7.44
2023-02-27,51.63,52.82,53.0,50.67,40721,211176661.0,4.48,1.62,0.84,5.07
2023-02-28,51.74,54.95,54.95,51.25,39135,206930310.0,7.0,4.03,2.13,4.87
2023-03-01,57.0,65.94,65.94,56.08,69646,424891759.0,17.94,20.0,10.99,8.67
2023-03-02,72.0,78.0,79.0,70.48,119006,888795263.0,12.92,18.29,12.06,14.82
2023-03-03,75.0,70.5,75.97,68.09,107873,779648934.0,10.1,-9.62,-7.5,13.43
2023-03-06,71.44,72.68,76.0,70.21,101618,746235102.0,8.21,3.09,2.18,12.65
2023-03-07,73.48,63.44,74.66,63.1,121699,821596704.0,15.91,-12.71,-9.24,15.15
2023-03-08,63.0,64.2,65.4,60.26,98076,605934300.0,8.1,1.2,0.76,12.21
2023-03-09,62.17,62.96,64.5,60.6,71249,443168975.0,6.07,-1.93,-1.24,8.87
2023-03-10,66.0,71.5,75.19,64.48,128436,878679546.0,17.01,13.56,8.54,15.99
