日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2023-02-10,38.89,38.78,40.38,38.0,79526,312324097.0,6.14,0.0,0.0,4.77
2023-02-13,38.47,38.5,39.17,37.53,56197,214403331.0,4.23,-0.72,-0.28,3.37
2023-02-14,38.19,37.88,38.78,37.59,30918,117317834.0,3.09,-1.61,-0.62,1.86
2023-02-15,38.0,37.65,38.04,37.4,30154,113510057.0,1.69,-0.61,-0.23,1.81
2023-02-16,38.02,36.95,38.24,36.92,36178,136331137.0,3.51,-1.86,-0.7,2.17
2023-02-17,36.95,35.98,37.35,35.63,45433,164854234.0,4.65,-2.63,-0.97,2.73
2023-02-20,35.97,36.81,37.0,35.5,29829,108245872.0,4.17,2.31,0.83,1.79
2023-02-21,36.94,35.69,36.94,35.15,46799,166964918.0,4.86,-3.04,-1.12,2.81
2023-02-22,35.69,35.39,35.82,35.05,32874,116195515.0,2.16,-0.84,-0.3,1.97
2023-02-23,35.11,35.63,35.81,35.02,22523,80151689.0,2.23,0.68,0.24,1.35
2023-02-24,35.32,38.01,38.58,35.32,63640,237521305.0,9.15,6.68,2.38,3.82
2023-02-27,37.77,38.3,39.75,37.41,51053,197759812.0,6.16,0.76,0.29,3.07
2023-02-28,38.61,39.48,40.87,38.61,56957,225466459.0,5.9,3.08,1.18,3.42
2023-03-01,39.48,39.9,40.31,38.83,52235,207175354.0,3.75,1.06,0.42,3.14
2023-03-02,39.98,40.31,40.7,39.6,38146,153129862.0,2.76,1.03,0.41,2.29
2023-03-03,40.1,39.27,40.31,39.2,20512,81301933.0,2.75,-2.58,-1.04,1.23
2023-03-06,39.27,40.64,40.76,38.98,29406,118007308.0,4.53,3.49,1.37,1.77
2023-03-07,40.67,39.81,40.78,39.5,33317,133977170.0,3.15,-2.04,-0.83,2.0
2023-03-08,40.05,40.27,40.88,39.8,32348,130545069.0,2.71,1.16,0.46,1.94
2023-03-09,40.51,42.01,42.76,39.61,48843,201514233.0,7.82,4.32,1.74,2.93
2023-03-10,41.57,43.59,43.9,41.52,53378,229302892.0,5.67,3.76,1.58,3.2
