日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2023-02-10,14.8,14.77,15.36,14.59,51691,77086867.0,5.24,0.54,0.08,6.46
2023-02-13,14.66,14.6,14.83,14.4,37693,55076849.0,2.91,-1.15,-0.17,4.71
2023-02-14,14.83,14.9,15.47,14.65,64183,96783217.0,5.62,2.05,0.3,8.03
2023-02-15,14.88,15.1,15.25,14.83,44767,67368860.0,2.82,1.34,0.2,5.6
2023-02-16,15.12,14.83,15.4,14.58,67219,100583116.0,5.43,-1.79,-0.27,8.41
2023-02-17,14.83,14.2,14.95,14.1,56909,81874072.0,5.73,-4.25,-0.63,7.12
2023-02-20,14.35,14.2,14.36,14.03,26531,37643071.0,2.32,0.0,0.0,3.32
2023-02-21,14.28,14.12,14.52,14.06,31704,45218903.0,3.24,-0.56,-0.08,3.97
2023-02-22,14.09,14.18,14.29,13.95,18240,25782712.0,2.41,0.42,0.06,2.28
2023-02-23,14.2,13.88,14.3,13.83,21955,30722473.0,3.31,-2.12,-0.3,2.75
2023-02-24,13.93,14.08,14.19,13.88,17156,24118943.0,2.23,1.44,0.2,2.15
2023-02-27,14.15,13.64,14.15,13.6,15672,21634581.0,3.91,-3.13,-0.44,1.96
2023-02-28,13.79,13.98,14.15,13.76,21947,30540948.0,2.86,2.49,0.34,2.74
2023-03-01,13.88,14.75,14.94,13.84,58265,84953202.0,7.87,5.51,0.77,7.29
2023-03-02,14.77,15.06,15.38,14.63,52132,78674294.0,5.08,2.1,0.31,6.52
2023-03-03,15.19,14.75,15.19,14.57,29780,44079929.0,4.12,-2.06,-0.31,3.72
2023-03-06,14.77,14.88,15.16,14.6,30108,44949509.0,3.8,0.88,0.13,3.77
2023-03-07,15.59,16.06,17.5,15.59,129731,213592850.0,12.84,7.93,1.18,16.22
2023-03-08,16.68,16.32,17.42,15.58,136870,221355220.0,11.46,1.62,0.26,17.12
2023-03-09,16.13,15.53,16.13,15.12,128280,198760712.0,6.19,-4.84,-0.79,16.04
2023-03-10,15.38,16.09,16.74,15.38,137661,222727308.0,8.76,3.61,0.56,17.22
