日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2023-02-10,69.63,69.72,70.83,69.17,8522,59599381.0,2.36,-0.71,-0.5,0.27
2023-02-13,70.0,70.1,71.2,69.52,14596,102491712.0,2.41,0.55,0.38,0.46
2023-02-14,70.17,71.85,72.15,70.17,11089,79280684.0,2.82,2.5,1.75,0.35
2023-02-15,71.51,70.6,71.74,70.6,7812,55488028.0,1.59,-1.74,-1.25,0.25
2023-02-16,70.51,73.74,73.86,70.12,18002,130307605.0,5.3,4.45,3.14,0.57
2023-02-17,73.8,77.0,77.88,73.8,18163,139402422.0,5.53,4.42,3.26,0.57
2023-02-20,76.01,76.4,76.91,74.43,11261,85214251.0,3.22,-0.78,-0.6,0.35
2023-02-21,76.8,75.01,76.8,74.8,7040,53173208.0,2.62,-1.82,-1.39,0.22
2023-02-22,74.91,77.0,77.6,74.28,10241,77895919.0,4.43,2.65,1.99,0.32
2023-02-23,76.17,75.9,77.7,75.4,6752,51656893.0,2.99,-1.43,-1.1,0.21
2023-02-24,75.31,74.87,76.43,74.68,7523,56640814.0,2.31,-1.36,-1.03,0.24
2023-02-27,74.42,74.28,75.17,72.8,15478,114542706.0,3.17,-0.79,-0.59,0.49
2023-02-28,75.43,72.06,75.44,71.08,21904,158368163.0,5.87,-2.99,-2.22,0.69
2023-03-01,72.46,70.83,72.83,70.68,17874,127142325.0,2.98,-1.71,-1.23,0.56
2023-03-02,71.4,70.82,72.56,70.17,12543,89437455.0,3.37,-0.01,-0.01,0.39
2023-03-03,70.88,70.83,71.6,70.7,11529,81900825.0,1.27,0.01,0.01,0.36
2023-03-06,71.0,72.4,73.0,70.2,30040,216527529.0,3.95,2.22,1.57,0.94
2023-03-07,72.13,69.97,72.72,69.4,27925,196558388.0,4.59,-3.36,-2.43,0.88
2023-03-08,70.0,67.66,70.0,66.35,25698,173438050.0,5.22,-3.3,-2.31,0.81
2023-03-09,67.16,71.23,71.74,67.16,40443,285510354.0,6.77,5.28,3.57,1.27
2023-03-10,70.91,74.14,75.25,70.5,56414,416799437.0,6.67,4.09,2.91,1.77
