日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2023-02-10,104.35,101.42,104.54,99.0,3374,34073846.0,5.35,-2.12,-2.2,1.98
2023-02-13,101.38,102.03,103.08,99.04,3208,32577961.0,3.98,0.6,0.61,1.88
2023-02-14,102.99,97.52,102.99,95.6,5207,51090001.0,7.24,-4.42,-4.51,3.05
2023-02-15,97.62,99.7,101.0,96.0,3796,37531157.0,5.13,2.24,2.18,2.23
2023-02-16,100.0,95.08,100.26,94.3,5091,49174961.0,5.98,-4.63,-4.62,2.99
2023-02-17,94.83,91.63,96.64,91.53,3655,33921502.0,5.37,-3.63,-3.45,2.14
2023-02-20,91.86,93.12,93.23,91.01,2920,26918361.0,2.42,1.63,1.49,1.71
2023-02-21,93.13,92.71,94.45,91.0,2014,18722515.0,3.7,-0.44,-0.41,1.18
2023-02-22,91.88,99.0,101.49,91.88,4723,46156206.0,10.37,6.78,6.29,2.77
2023-02-23,98.99,96.33,99.89,96.33,2554,25043341.0,3.6,-2.7,-2.67,1.5
2023-02-24,97.18,95.83,98.82,94.41,4454,42792974.0,4.58,-0.52,-0.5,2.61
2023-02-27,93.79,94.92,95.85,93.79,2375,22517022.0,2.15,-0.95,-0.91,1.39
2023-02-28,96.39,99.29,103.78,96.37,5596,55549488.0,7.81,4.6,4.37,3.28
2023-03-01,98.79,105.89,106.47,98.79,6135,63958466.0,7.73,6.65,6.6,3.6
2023-03-02,105.0,105.56,107.77,105.0,3157,33583018.0,2.62,-0.31,-0.33,1.85
2023-03-03,105.99,103.41,106.31,102.52,2290,23800357.0,3.59,-2.04,-2.15,1.34
2023-03-06,103.83,103.59,106.2,101.75,2528,26221413.0,4.3,0.17,0.18,1.48
2023-03-07,104.37,99.49,105.38,98.47,4372,44040598.0,6.67,-3.96,-4.1,2.56
2023-03-08,99.5,99.39,100.06,97.03,2771,27285112.0,3.05,-0.1,-0.1,1.62
2023-03-09,98.0,100.0,103.19,98.0,3521,35641726.0,5.22,0.61,0.61,2.06
2023-03-10,100.0,103.37,105.0,99.53,3544,36608843.0,5.47,3.37,3.37,2.08
