日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2023-02-10,28.38,27.56,28.67,27.4,11893,33370982.0,4.54,-1.5,-0.42,2.98
2023-02-13,27.33,28.22,28.95,27.1,15917,44955603.0,6.71,2.39,0.66,3.99
2023-02-14,28.42,28.29,29.4,28.12,10219,29296127.0,4.54,0.25,0.07,2.56
2023-02-15,28.56,30.38,30.96,28.35,28532,84790592.0,9.23,7.39,2.09,7.16
2023-02-16,30.17,29.77,31.21,29.05,27177,81884945.0,7.11,-2.01,-0.61,6.82
2023-02-17,29.51,28.1,29.51,27.98,23085,65884817.0,5.14,-5.61,-1.67,5.79
2023-02-20,28.34,28.4,29.8,28.1,20626,59465533.0,6.05,1.07,0.3,5.18
2023-02-21,28.47,28.3,28.98,27.51,15383,43131400.0,5.18,-0.35,-0.1,3.86
2023-02-22,28.3,28.25,28.5,27.58,7132,20031420.0,3.25,-0.18,-0.05,1.79
2023-02-23,28.43,28.14,29.08,28.05,7725,22019586.0,3.65,-0.39,-0.11,1.94
2023-02-24,28.0,28.53,28.8,28.0,5456,15547050.0,2.84,1.39,0.39,1.37
2023-02-27,28.52,28.3,28.85,27.73,8393,23636983.0,3.93,-0.81,-0.23,2.11
2023-02-28,28.4,28.29,28.93,27.93,5306,15042652.0,3.53,-0.04,-0.01,1.33
2023-03-01,28.3,33.95,33.95,28.3,71255,230108880.0,19.97,20.01,5.66,17.88
2023-03-02,34.16,34.1,35.53,33.46,78418,270069710.0,6.1,0.44,0.15,19.68
2023-03-03,32.8,32.54,34.57,31.17,43456,141530778.0,9.97,-4.57,-1.56,10.91
2023-03-06,32.74,31.15,32.74,30.88,26320,82839991.0,5.72,-4.27,-1.39,6.61
2023-03-07,31.6,30.59,31.6,30.3,17220,52854973.0,4.17,-1.8,-0.56,4.32
2023-03-08,30.53,31.9,31.9,30.44,14545,45207343.0,4.77,4.28,1.31,3.65
2023-03-09,31.9,31.66,32.67,30.97,15117,48003804.0,5.33,-0.75,-0.24,3.79
2023-03-10,31.66,32.87,34.2,31.66,29750,97684066.0,8.02,3.82,1.21,7.47
