日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2023-02-10,9.45,9.22,9.45,9.21,596447,554832710.0,2.53,-2.95,-0.28,5.28
2023-02-13,9.2,9.33,9.37,9.16,468174,434958602.0,2.28,1.19,0.11,4.14
2023-02-14,9.33,9.28,9.34,9.2,337252,312063646.0,1.5,-0.54,-0.05,2.98
2023-02-15,9.27,9.36,9.42,9.23,444540,414820600.0,2.05,0.86,0.08,3.93
2023-02-16,9.31,9.57,10.16,9.3,1434444,1390903075.0,9.19,2.24,0.21,12.69
2023-02-17,9.4,8.98,9.57,8.98,828353,764072016.0,6.17,-6.17,-0.59,7.33
2023-02-20,9.26,9.88,9.88,9.26,1299032,1248269294.0,6.9,10.02,0.9,11.49
2023-02-21,10.15,10.13,10.38,9.86,1775207,1802033569.0,5.26,2.53,0.25,15.71
2023-02-22,10.06,10.3,10.9,9.99,1626264,1690244923.0,8.98,1.68,0.17,14.39
2023-02-23,10.3,11.33,11.33,10.16,2997440,3339198188.0,11.36,10.0,1.03,26.52
2023-02-24,11.28,10.22,11.28,10.2,2849145,2999615834.0,9.53,-9.8,-1.11,25.21
2023-02-27,10.0,9.74,10.0,9.7,1356691,1333485487.0,2.94,-4.7,-0.48,12.0
2023-02-28,9.74,10.08,10.13,9.65,1299063,1283778631.0,4.93,3.49,0.34,11.49
2023-03-01,9.95,10.43,10.52,9.92,1517271,1566559634.0,5.95,3.47,0.35,13.43
2023-03-02,10.3,10.35,10.64,10.23,1029536,1071136553.0,3.93,-0.77,-0.08,9.11
2023-03-03,10.33,10.31,10.5,10.15,942057,971058508.0,3.38,-0.39,-0.04,8.34
2023-03-06,10.31,10.09,10.35,10.01,684723,693098325.0,3.3,-2.13,-0.22,6.06
2023-03-07,10.06,9.91,10.34,9.89,919349,929081324.0,4.46,-1.78,-0.18,8.13
2023-03-08,9.78,9.91,9.94,9.73,530086,521560482.0,2.12,0.0,0.0,4.69
2023-03-09,9.84,9.68,9.89,9.6,554914,539663970.0,2.93,-2.32,-0.23,4.91
2023-03-10,9.6,10.07,10.24,9.56,1156443,1151734293.0,7.02,4.03,0.39,10.23
