日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2023-02-10,47.9,47.48,48.75,47.2,106640,511435008.0,3.23,-0.94,-0.45,2.12
2023-02-13,47.35,47.63,47.92,47.0,80451,381833747.0,1.94,0.32,0.15,1.6
2023-02-14,47.63,47.47,48.62,47.17,88776,424106155.0,3.04,-0.34,-0.16,1.77
2023-02-15,47.43,48.25,48.3,47.14,94693,453049375.0,2.44,1.64,0.78,1.88
2023-02-16,48.31,46.93,48.78,46.2,147267,703992858.0,5.35,-2.74,-1.32,2.93
2023-02-17,46.63,45.04,47.1,45.0,139836,641134731.0,4.47,-4.03,-1.89,2.78
2023-02-20,45.1,45.7,45.87,44.53,82022,369698149.0,2.98,1.47,0.66,1.63
2023-02-21,45.52,45.85,46.39,45.34,68152,312535190.0,2.3,0.33,0.15,1.36
2023-02-22,45.5,45.63,46.18,45.35,45915,209727881.0,1.81,-0.48,-0.22,0.91
2023-02-23,45.59,45.41,45.9,45.22,43452,197879073.0,1.49,-0.48,-0.22,0.86
2023-02-24,45.75,45.05,45.9,44.8,51766,234418517.0,2.42,-0.79,-0.36,1.03
2023-02-27,44.77,44.18,44.95,44.04,58918,261756616.0,2.02,-1.93,-0.87,1.17
2023-02-28,44.46,44.6,44.88,43.97,46504,206352785.0,2.06,0.95,0.42,0.93
2023-03-01,44.57,44.82,45.02,44.38,49525,221468497.0,1.43,0.49,0.22,0.99
2023-03-02,44.83,44.22,45.18,44.2,54725,244445466.0,2.19,-1.34,-0.6,1.09
2023-03-03,44.76,45.17,45.27,44.35,95265,427973462.0,2.08,2.15,0.95,1.9
2023-03-06,45.15,45.38,45.76,44.43,82771,373192631.0,2.94,0.46,0.21,1.65
2023-03-07,45.08,43.95,45.37,43.87,79371,353315848.0,3.31,-3.15,-1.43,1.58
2023-03-08,43.75,44.38,44.67,43.66,48252,213077523.0,2.3,0.98,0.43,0.96
2023-03-09,44.49,44.92,45.56,44.39,90296,407080753.0,2.64,1.22,0.54,1.8
2023-03-10,44.68,46.73,47.55,44.6,232078,1080817114.0,6.57,4.03,1.81,4.62
