日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2023-02-10,18.95,19.14,19.32,18.95,8603,16499872.0,1.94,0.1,0.02,1.37
2023-02-13,19.22,19.67,19.86,19.12,17007,33201689.0,3.87,2.77,0.53,2.71
2023-02-14,19.76,19.95,20.58,19.72,14423,29055079.0,4.37,1.42,0.28,2.3
2023-02-15,20.19,19.94,20.19,19.8,8595,17123597.0,1.95,-0.05,-0.01,1.37
2023-02-16,20.0,19.23,20.0,19.08,12467,24370485.0,4.61,-3.56,-0.71,1.99
2023-02-17,19.0,19.09,19.45,19.0,9710,18630503.0,2.34,-0.73,-0.14,1.55
2023-02-20,19.44,19.21,19.44,18.86,8241,15677285.0,3.04,0.63,0.12,1.31
2023-02-21,19.29,19.43,19.63,19.05,8367,16209380.0,3.02,1.15,0.22,1.33
2023-02-22,19.43,19.68,19.75,19.14,8452,16532091.0,3.14,1.29,0.25,1.35
2023-02-23,19.69,19.85,19.89,19.49,8354,16463252.0,2.03,0.86,0.17,1.33
2023-02-24,19.87,19.55,19.88,19.48,7089,13886255.0,2.02,-1.51,-0.3,1.13
2023-02-27,19.53,19.71,19.81,19.4,7658,15062509.0,2.1,0.82,0.16,1.22
2023-02-28,20.3,20.91,21.33,20.3,56751,118358961.0,5.23,6.09,1.2,9.05
2023-03-01,20.97,20.8,21.19,20.64,27470,57263440.0,2.63,-0.53,-0.11,4.38
2023-03-02,20.98,22.33,22.33,20.72,50135,109106558.0,7.74,7.36,1.53,7.99
2023-03-03,22.16,21.46,22.2,21.22,39422,85357031.0,4.39,-3.9,-0.87,6.29
2023-03-06,21.58,21.73,22.19,21.5,34236,74577966.0,3.22,1.26,0.27,5.46
2023-03-07,21.73,21.02,21.73,20.95,26665,56709984.0,3.59,-3.27,-0.71,4.25
2023-03-08,21.02,21.63,21.67,20.85,24954,53262831.0,3.9,2.9,0.61,3.98
2023-03-09,21.63,21.91,22.6,21.43,29564,65050762.0,5.41,1.29,0.28,4.71
2023-03-10,21.99,22.8,23.33,21.89,57336,131213101.0,6.57,4.06,0.89,9.14
